,year,quarter,ticker,close,close_quarter_after,forward_return,size,de,roe,roa
81,2015,2,STB,15.5,13.67,-0.11806451612903224,32.981824622390945,10.117490241360638,0.1155552033,0.0107978379
82,2015,3,STB,13.67,13.1,-0.04169714703730798,32.99267555501861,9.925474927808294,0.0,0.0
83,2015,4,STB,13.1,10.3,-0.2137404580152671,33.3096302676029,11.956790437692936,0.0,0.0
84,2016,1,STB,10.3,11.3,0.09708737864077666,33.35628925502738,12.511667916598284,0.0320888264,0.0026264715
85,2016,2,STB,11.3,9.32,-0.17522123893805308,33.372674386599485,13.192695983594039,0.0,0.0
86,2016,3,STB,9.32,9.45,0.013948497854077146,33.39951815872514,13.117411308420136,-0.0027504186,-0.0002025003
87,2016,4,STB,9.45,11.45,0.21164021164021163,33.440048631575635,13.508921100285143,0.016355955,0.001190428
88,2017,1,STB,11.45,13.8,0.20524017467248923,33.47285170577643,13.9013588515289,0.0184107755,0.001285663
89,2017,2,STB,13.8,12.5,-0.09420289855072472,33.50542654310242,14.825112189395188,0.0231285513,0.0015590111
90,2017,3,STB,12.5,12.85,0.028000000000000025,33.526767554040404,14.954074982402757,0.0299794859,0.0019603936
91,2017,4,STB,12.85,15.5,0.20622568093385207,33.54095125729277,14.872457656342979,0.0520187603,0.0033735152
92,2018,1,STB,15.5,11.55,-0.2548387096774193,33.57448287268196,15.106689816214239,0.0589797935,0.0036998247
93,2018,2,STB,11.55,13.5,0.16883116883116878,33.62420007010055,15.943340545598378,0.0,0.0
94,2018,3,STB,13.5,11.95,-0.11481481481481481,33.631451546609156,15.97171107311142,0.0565142626,0.00342992
95,2018,4,STB,11.95,12.2,0.02092050209205021,33.637474265605,15.484027478318566,0.0747944913,0.0046226835
96,2019,1,STB,12.2,11.35,-0.069672131147541,33.683188023007745,15.682853926316502,0.0917651252,0.0054732135
97,2019,2,STB,11.35,10.55,-0.07048458149779724,33.71590804161033,16.22303832849249,0.0874771743,0.0051942118
98,2019,3,STB,10.55,10.05,-0.04739336492891,33.74071357749744,16.163656559914017,0.1092815883,0.0064687184
99,2019,4,STB,10.05,7.3,-0.27363184079602,33.748195106006214,15.961602093214927,0.0955683289,0.0057114987
100,2020,1,STB,7.3,10.75,0.4726027397260275,33.76023786331924,15.66548189618698,0.0904142622,0.0053192584
101,2020,2,STB,10.75,13.8,0.2837209302325583,33.80875357895194,16.556952308794376,0.0901229569,0.0052745151
102,2020,3,STB,13.8,16.9,0.22463768115942018,33.81560827369969,16.203313345814983,0.0864809324,0.0050579409
103,2020,4,STB,16.9,21.45,0.2692307692307694,33.83079296547599,16.013141173498965,0.0963045956,0.0056695682
104,2021,1,STB,21.45,30.6,0.4265734265734267,33.8404712931159,15.729328506514625,0.09435875713825226,0.005512643605470657
105,2021,2,STB,30.6,25.7,-0.16013071895424846,33.85465578599645,15.605357672451078,0.1182406273,0.0070042477
106,2021,3,STB,25.7,31.5,0.22568093385214016,33.83415358446021,13.806723033434986,0.1107405104,0.0068183436
107,2021,4,STB,31.5,31.7,0.006349206349206327,33.88714792163029,14.212375716686129,0.1079287156,0.0067312242
108,2022,1,STB,31.7,21.5,-0.3217665615141956,33.94554515497261,14.572773110456321,0.1163816477,0.0074970132
109,2022,2,STB,21.5,20.6,-0.041860465116279055,33.94352172796832,14.40365924192957,0.1029503245,0.0067480825
110,2022,3,STB,20.6,22.5,0.09223300970873782,33.96641724337753,14.273120283328904,0.116435026,0.007577479
111,2022,4,STB,22.5,26.2,0.1644444444444444,34.01451795515647,14.325918717572549,0.1383128098,0.0090576507
112,2023,1,STB,26.2,29.8,0.13740458015267176,34.02242552504645,13.712190922223012,0.1491958415,0.0098365112
113,2023,2,STB,29.8,30.65,0.028523489932885893,34.064246798108265,13.88712113464705,0.1719325424,0.0114318235
114,2023,3,STB,30.65,27.95,-0.08809135399673729,34.10997351571228,13.900217174624188,0.1751386184,0.0117146166
115,2023,4,STB,27.95,31.6,0.13059033989266555,34.14482919035156,13.745958487128926,0.1829904532,0.0121908428
116,2024,1,STB,31.6,28.8,-0.08860759493670889,34.172822178523006,13.476081059426852,0.1770638701,0.0120089263
117,2024,2,STB,28.8,33.35,0.15798611111111116,34.20653308316844,13.615785411081461,0.1755456297,0.0119593677
118,2024,3,STB,33.35,36.9,0.1064467766116941,34.186357518197866,12.708633808172697,0.1803773162,0.0125504457
